State/Province,City/County,Subspecies,SampleID,Label
Yunnan,Lushui,Apis cerana cerana ,B320,0
Yunnan,Lushui,Apis cerana cerana ,B321,0
Yunnan,Lushui,Apis cerana cerana ,B322,0
Yunnan,Lushui,Apis cerana cerana ,B323,0
Yunnan,Lushui,Apis cerana cerana ,B324,0
Yunnan,Nvjiang,Apis cerana cerana ,B359,1
Yunnan,Nvjiang,Apis cerana cerana ,B358,1
Yunnan,Nvjiang,Apis cerana cerana ,B355,1
Yunnan,Nvjiang,Apis cerana cerana ,B318,1
Yunnan,Nvjiang,Apis cerana cerana ,B317,1
Yunnan,Nvjiang,Apis cerana cerana ,B316,1
Yunnan,Nvjiang,Apis cerana cerana ,B360,1
Yunnan,Nvjiang,Apis cerana cerana ,B354,1
Yunnan,Xishaungbanna,Apis cerana cerana ,B313,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B314,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B312,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B351,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B353,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B349,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B348,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B347,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B352,2
Yunnan,Xishaungbanna,Apis cerana cerana ,B350,2
